bldg	room	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
LI	321	20	individual	y	n	y	n	n	n	y	y	y	y	n	y	n	n	y	n
MB	109	46	group	y	n	y	n	n	n	y	n	y	n	y	n	n	n	y	n
MB	109	21	individual	y	n	n	n	y	n	n	n	y	n	y	n	y	n	n	n
MB	110	21	group	y	n	n	y	y	y	y	y	y	n	n	n	y	n	n	n
MH	101	48	group	y	n	y	y	y	n	y	y	y	n	n	n	y	n	n	y
MH	103	42	individual	n	n	n	n	y	y	n	y	y	n	y	y	y	n	n	y
MH	104	46	group	y	y	n	n	y	n	y	y	y	n	n	n	n	y	y	n
MH	105	37	individual	n	n	y	y	y	y	n	n	n	n	n	n	y	y	n	n
MH	107	42	group	n	n	y	y	y	y	y	n	y	y	y	y	n	y	y	y
MH	111	6	individual	y	n	y	y	y	y	n	y	n	n	y	n	n	n	n	y
MH	118	12	group	y	y	n	y	n	n	y	n	y	n	y	y	n	n	n	n
MH	119	17	individual	n	n	n	y	y	y	n	n	y	n	y	n	y	y	y	n
MH	120	28	group	y	n	y	y	y	n	y	y	y	y	n	n	n	y	n	y
MH	129	15	individual	n	y	y	n	y	y	y	y	n	y	n	n	y	n	n	n
MH	132	19	group	y	n	y	n	n	n	y	y	y	n	y	n	n	n	n	n
MH	135	13	individual	y	y	n	y	n	y	y	y	n	y	n	n	n	n	n	y
MH	151	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
MH	163	40	individual	y	n	n	n	n	n	n	y	y	y	y	y	n	n	n	n
MH	172	21	group	n	y	n	n	y	y	n	y	n	n	y	n	n	n	y	y
MH	25	14	individual	y	n	n	y	y	n	n	y	n	y	n	n	n	y	n	n
MH	26	13	group	y	y	n	y	y	y	n	n	n	y	y	y	y	n	n	y
MH	49	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
MH	THEA	7	individual	y	n	y	y	y	y	n	n	n	y	y	y	y	y	y	n
MT	100	29	group	n	n	y	y	n	y	y	n	n	y	y	n	y	n	n	y
SB	106	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
SB	108	31	group	y	y	n	n	n	n	y	y	y	y	y	y	y	y	n	n
SB	109	21	individual	n	n	y	n	n	n	y	n	n	n	n	y	y	n	y	n
SB	109	20	group	y	n	y	y	n	n	y	n	y	y	n	y	n	n	y	y
SB	111	18	individual	y	n	n	y	y	y	n	y	n	n	n	n	y	y	y	y
SB	112	10	group	y	n	n	y	y	n	n	n	y	n	n	y	n	y	y	n
SB	132	21	individual	n	y	y	n	n	y	y	n	n	n	n	y	y	n	n	y
SB	134	22	group	y	y	y	n	n	n	n	y	n	y	n	y	n	y	y	n
SB	151	17	individual	n	y	y	n	y	y	n	y	y	n	n	n	n	n	y	n
SB	160	50	group	n	y	n	y	n	y	n	y	y	n	y	y	n	n	y	y
SB	161	11	individual	y	n	n	y	y	n	n	n	y	y	n	n	n	n	y	y
SB	165	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
SB	209	26	individual	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	y
SB	217	38	group	y	y	n	y	n	y	n	n	y	n	y	y	y	y	n	n
SB	221	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
SB	224	31	group	y	y	n	n	y	n	n	n	n	y	y	y	y	n	n	y
SB	246	41	individual	n	n	n	n	y	n	y	y	n	y	n	y	n	y	y	n
SB	253	35	group	y	y	n	y	y	n	y	y	n	n	y	y	n	n	n	n
SS	123	13	individual	y	y	y	y	y	y	n	n	n	n	y	y	n	y	n	n
