Course #	Section #	Course Name	Instructor ID	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
ART347	1	ADV TOP: BOOK ARTS	123456	--T-R--	920	1150	19	group	y	n	y	n	n	n	y	y	y	n	y	n	n	n	n	n
ART369	1	ART FOR EDUCATORS	123456	--T-R--	920	1150	20	individual	y	n	y	n	n	n	y	y	y	y	n	y	n	n	y	n
ART493	1	ST MARYS PROJ STU ART I	123456	--T-R--	1320	1550	29	group	n	n	y	y	n	y	y	n	n	y	y	n	y	n	n	y
ARTH100	1	INTRO TO ART HISTORY	123456	--T-R--	1400	1550	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
ARTH224	1	ANCIENT AMER ART/ARCHITECTURE	123456	--T-R--	1000	1150	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
ARTH255	1	TOPICS IN GLOBAL ART HISTORY:Art in the Age of Discovery	123456	--T-R--	800	950	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
ARTH316	1	MOD ART: 1850-1945	123456	-M-W---	1440	1630	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
ARTH321	1	ART/ARCHITECTURE ANCIENT MAYA	123456	--T-R--	1200	1350	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
ARTH450	1	ADVANCED SEMINAR IN ART HISTORY:Studio of One's Own-Women/Art	123456	--T-R--	1000	1150	35	individual	y	n	y	n	y	n	n	y	y	y	n	y	n	y	n	y
ARTH470	1	CRIT APPROACHES ANALYSIS OF ART	123456	---W---	1800	2140	49	group	y	y	y	n	n	y	n	y	n	n	n	n	y	n	n	n
ASIA200	1	INTRO TO ASIAN STUDIES	123456	-M-W---	1440	1630	35	individual	y	n	y	n	y	n	n	y	y	y	n	y	n	y	n	y
ASIA305	1	CHINESE CINEMA	123456	-M-W---	1440	1630	41	group	y	n	n	y	y	y	n	n	n	y	n	y	y	n	n	y
ASTR155	1	STELLAR ASTRONOMY AND COSMOLOGY	123456	--T-R--	1400	1550	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
ASTR155L	1	ASTRONOMY LAB	123456	-----F-	920	1150	17	individual	n	y	y	n	y	y	n	y	y	n	n	n	n	n	y	n
ASTR155L	2	ASTRONOMY LAB	123456	-----F-	1320	1550	17	individual	n	y	y	n	y	y	n	y	y	n	n	n	n	n	y	n
BIOL101	3	CONTEMPORARY BIOSCIENCE W/LAB	123456	----R--	1300	1550	31	group	y	y	n	n	n	n	y	y	y	y	y	y	y	y	n	n
BIOL101	1	CONTEMPORARY BIOSCIENCE W/LAB	123456	--T-R--	1000	1150	20	group	y	n	y	y	n	n	y	n	y	y	n	y	n	n	y	y
BIOL101	2	CONTEMPORARY BIOSCIENCE W/LAB	123456	--T-R--	1400	1550	22	group	y	y	y	n	n	n	n	y	n	y	n	y	n	y	y	n
BIOL101	3	CONTEMPORARY BIOSCIENCE W/LAB	123456	-M-W---	1440	1630	22	group	y	y	y	n	n	n	n	y	n	y	n	y	n	y	y	n
BIOL101	1	CONTEMPORARY BIOSCIENCE W/LAB	123456	--T----	1300	1550	38	group	y	y	n	y	n	y	n	n	y	n	y	y	y	y	n	n
BIOL101	2	CONTEMPORARY BIOSCIENCE W/LAB	123456	---W---	1320	1610	38	group	y	y	n	y	n	y	n	n	y	n	y	y	y	y	n	n
BIOL105	1	PRINCIPLES OF BIOLOGY I	123456	-M-W---	800	910	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	1	PRINCIPLES OF BIOLOGY I	123456	-----F-	800	910	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	2	PRINCIPLES OF BIOLOGY I	123456	-M-W---	800	910	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	3	PRINCIPLES OF BIOLOGY I	123456	-----F-	920	1030	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	3	PRINCIPLES OF BIOLOGY I	123456	-M-W---	920	1030	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	4	PRINCIPLES OF BIOLOGY I	123456	-M-W---	920	1030	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	5	PRINCIPLES OF BIOLOGY I	123456	-M-W---	1040	1150	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	5	PRINCIPLES OF BIOLOGY I	123456	-----F-	1040	1150	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	6	PRINCIPLES OF BIOLOGY I	123456	-M-W---	1040	1150	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL105	2	PRINCIPLES OF BIOLOGY I	123456	-----F-	800	910	31	group	y	y	n	n	n	n	y	y	y	y	y	y	y	y	n	n
BIOL105	4	PRINCIPLES OF BIOLOGY I	123456	-----F-	920	1030	31	group	y	y	n	n	n	n	y	y	y	y	y	y	y	y	n	n
BIOL105	6	PRINCIPLES OF BIOLOGY I	123456	-----F-	1040	1150	31	group	y	y	n	n	n	n	y	y	y	y	y	y	y	y	n	n
BIOL105L	1	PRIN OF BIOL I LAB	123456	-M-----	1320	1610	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL105L	2	PRIN OF BIOL I LAB	123456	--T----	830	1120	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL105L	3	PRIN OF BIOL I LAB	123456	--T----	1300	1550	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL105L	4	PRIN OF BIOL I LAB	123456	---W---	1320	1610	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL105L	5	PRIN OF BIOL I LAB	123456	---W---	1800	2050	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL105L	6	PRIN OF BIOL I LAB	123456	----R--	830	1120	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL105L	7	PRIN OF BIOL I LAB	123456	----R--	1300	1550	41	individual	y	n	n	n	y	n	n	n	y	n	n	y	y	y	y	n
BIOL109	1	EMERGING SCHOLARS PROGRAM	123456	-M-----	1800	2050	17	group	y	y	y	n	n	n	y	n	y	n	y	n	y	n	n	n
BIOL270	1	GENETICS	123456	-M-W-F-	920	1030	20	group	y	n	y	y	n	n	y	n	y	y	n	y	n	n	y	y
BIOL270	2	GENETICS	123456	-M-W-F-	1040	1150	20	group	y	n	y	y	n	n	y	n	y	y	n	y	n	n	y	y
BIOL270L	1	GENETICS LAB	123456	-M-----	1320	1610	41	individual	n	n	n	n	y	n	y	y	n	y	n	y	n	y	y	n
BIOL270L	2	GENETICS LAB	123456	--T----	1300	1550	41	individual	n	n	n	n	y	n	y	y	n	y	n	y	n	y	y	n
BIOL270L	3	GENETICS LAB	123456	---W---	1320	1610	41	individual	n	n	n	n	y	n	y	y	n	y	n	y	n	y	y	n
BIOL270L	4	GENETICS LAB	123456	----R--	1300	1550	41	individual	n	n	n	n	y	n	y	y	n	y	n	y	n	y	y	n
BIOL303	1	INVERTEBRATE ZOOLOGY	123456	-M-W-F-	1040	1150	21	individual	n	y	y	n	n	y	y	n	n	n	n	y	y	n	n	y
BIOL303	1	INVERTEBRATE ZOOLOGY	123456	-M-----	1320	1610	31	group	y	y	n	n	y	n	n	n	n	y	y	y	y	n	n	y
BIOL305	1	ANIMAL BEHAVIOR	123456	---W---	1320	1610	10	group	y	n	n	y	y	n	n	n	y	n	n	y	n	y	y	n
BIOL305	1	ANIMAL BEHAVIOR	123456	-M-W-F-	800	910	21	individual	n	y	y	n	n	y	y	n	n	n	n	y	y	n	n	y
BIOL311	1	BIOSTATISTICS	123456	--T-R--	1000	1150	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL311	1	BIOSTATISTICS	123456	--T----	1300	1550	26	individual	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	y
BIOL330	1	HUMAN ANATOMY & PHYSIOLOGY	123456	--T-R--	800	950	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL330L	1	HUMAN ANATOMY/PHYSIOLOGY LAB	123456	---W---	1320	1610	31	group	y	y	n	n	y	n	n	n	n	y	y	y	y	n	n	y
BIOL330L	2	HUMAN ANATOMY/PHYSIOLOGY LAB	123456	----R--	1300	1550	31	group	y	y	n	n	y	n	n	n	n	y	y	y	y	n	n	y
BIOL436	1	COMPARATIVE ANIMAL PHYSIOLOGY	123456	-M-W-F-	920	1030	21	individual	n	y	y	n	n	y	y	n	n	n	n	y	y	n	n	y
BIOL436	1	COMPARATIVE ANIMAL PHYSIOLOGY	123456	-M-----	1320	1610	38	group	y	y	n	y	n	y	n	n	y	n	y	y	y	y	n	n
BIOL463	1	ECOLOGY OF COASTAL SYSTEMS	123456	--T----	1300	1550	10	group	y	n	n	y	y	n	n	n	y	n	n	y	n	y	y	n
BIOL463	1	ECOLOGY OF COASTAL SYSTEMS	123456	--T-R--	800	950	22	group	y	y	y	n	n	n	n	y	n	y	n	y	n	y	y	n
BIOL493	1	ST. MARY'S PROJECT	123456	-----F-	1320	1430	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
BIOL494	1	ST. MARY'S PROJECT	123456	-----F-	1320	1430	46	individual	y	n	n	y	n	y	y	n	n	y	n	n	y	n	n	y
CHEM101	1	CONTEMPORARY CHEMISTRY W/ LAB	123456	--T-R--	1000	1150	17	group	y	y	y	n	n	n	y	n	y	n	y	n	y	n	n	n
CHEM101	1	CONTEMPORARY CHEMISTRY W/ LAB	123456	--T----	1240	1550	33	group	y	y	n	y	y	n	y	y	y	y	y	n	y	y	n	y
CHEM103	1	GENERAL CHEMISTRY I	123456	--T----	1800	2200	29	individual	y	n	y	y	n	y	n	n	n	n	y	n	n	y	y	y
CHEM103	1	GENERAL CHEMISTRY I	123456	--T----	1800	2200	17	group	y	y	y	n	n	n	y	n	y	n	y	n	y	n	n	n
CHEM103	1	GENERAL CHEMISTRY I	123456	--T----	1800	2200	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
CHEM103	1	GENERAL CHEMISTRY I	123456	-M-W-F-	920	1030	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM103	2	GENERAL CHEMISTRY I	123456	-M-W-F-	1040	1150	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM103	2	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM103	3	GENERAL CHEMISTRY I	123456	-M-W-F-	800	910	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM103	2	GENERAL CHEMISTRY I	123456	--T----	1800	2200	47	individual	y	y	y	y	y	n	n	y	n	n	y	y	n	y	y	y
CHEM103	3	GENERAL CHEMISTRY I	123456	--T----	1800	2200	27	group	n	n	n	y	y	n	y	n	n	n	y	y	n	y	y	y
CHEM103	3	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	individual	y	y	y	n	y	n	n	y	y	n	n	y	y	y	n	y
CHEM106	1	GENERAL CHEMISTRY II	123456	-M-W-F-	1040	1150	30	individual	y	y	y	n	y	n	n	y	y	n	n	y	y	y	n	y
CHEM106L	1	GEN CHEM II LAB	123456	-M-----	1320	1630	33	group	y	y	n	y	y	n	y	y	y	y	y	n	y	y	n	y
CHEM109	1	EMERGING SCHOLARS PROGRAM	123456	-M-----	1800	2000	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
CHEM306	1	INSTR ANALYSIS	123456	-M-W-F-	920	1030	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
CHEM306	1	INSTR ANALYSIS	123456	---W---	1320	1630	35	group	n	y	y	n	y	n	y	y	n	y	y	y	n	y	n	y
CHEM311	1	ORGANIC CHEMISTRY I	123456	----R--	1800	2200	29	individual	y	n	y	y	n	y	n	n	n	n	y	n	n	y	y	y
CHEM311	2	ORGANIC CHEMISTRY I	123456	----R--	1800	2200	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM311	1	ORGANIC CHEMISTRY I	123456	-M-W-F-	1040	1150	47	individual	y	y	y	y	y	n	n	y	n	n	y	y	n	y	y	y
CHEM311	2	ORGANIC CHEMISTRY I	123456	-M-W-F-	920	1030	47	individual	y	y	y	y	y	n	n	y	n	n	y	y	n	y	y	y
CHEM311	3	ORGANIC CHEMISTRY I	123456	-M-W-F-	800	910	47	individual	y	y	y	y	y	n	n	y	n	n	y	y	n	y	y	y
CHEM311	3	ORGANIC CHEMISTRY I	123456	----R--	1800	2200	47	individual	y	y	y	y	y	n	n	y	n	n	y	y	n	y	y	y
CHEM311L	1	ORGANIC CHEM I LAB	123456	-M-----	1320	1630	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM311L	2	ORGANIC CHEM I LAB	123456	-M-----	1800	2110	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM311L	3	ORGANIC CHEM I LAB	123456	--T----	1240	1550	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM311L	4	ORGANIC CHEM I LAB	123456	---W---	1320	1630	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM311L	5	ORGANIC CHEM I LAB	123456	---W---	1800	2110	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM311L	6	ORGANIC CHEM I LAB	123456	----R--	1240	1550	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM311L	7	ORGANIC CHEM I LAB	123456	----R--	840	1150	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
CHEM325	1	INTRO TO CHEMICAL LIT	123456	-----F-	1320	1430	43	individual	n	y	n	n	y	y	n	n	y	y	n	y	y	y	y	y
CHEM405	1	INORGANIC CHEMISTRY	123456	-M-W-F-	800	910	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
CHEM405	1	INORGANIC CHEMISTRY	123456	----R--	1240	1550	35	group	n	y	y	n	y	n	y	y	n	y	y	y	n	y	n	y
CHEM420	1	BIOCHEMISTRY I	123456	-M-W-F-	920	1030	29	individual	y	n	y	y	n	y	n	n	n	n	y	n	n	y	y	y
CHEM420	2	BIOCHEMISTRY I	123456	-M-W-F-	1200	1310	29	individual	y	n	y	y	n	y	n	n	n	n	y	n	n	y	y	y
CHEM420	1	BIOCHEMISTRY I	123456	-M-----	1800	2200	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM420	2	BIOCHEMISTRY I	123456	-M-----	1800	2200	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CHEM420L	1	BIOCHEMISTRY I LAB	123456	---W---	1320	1630	33	group	y	y	n	y	y	n	y	y	y	y	y	n	y	y	n	y
CHEM420L	2	BIOCHEMISTRY I LAB	123456	---W---	1800	2110	33	group	y	y	n	y	y	n	y	y	y	y	y	n	y	y	n	y
CHEM420L	3	BIOCHEMISTRY I LAB	123456	----R--	1240	1550	33	group	y	y	n	y	y	n	y	y	y	y	y	n	y	y	n	y
CHEM451	1	PHYSICAL CHEMISTRY I	123456	--T-R--	1000	1150	30	individual	y	y	y	n	y	n	n	y	y	n	n	y	y	y	n	y
CHEM451	1	PHYSICAL CHEMISTRY I	123456	----R--	1800	2200	30	individual	y	y	y	n	y	n	n	y	y	n	n	y	y	y	n	y
CHEM451L	1	PHYSICAL CHEM I LAB	123456	-M-----	1320	1630	35	group	n	y	y	n	y	n	y	y	n	y	y	y	n	y	n	y
CHEM451L	2	PHYSICAL CHEM I LAB	123456	--T----	1240	1550	35	group	n	y	y	n	y	n	y	y	n	y	y	y	n	y	n	y
CORE101	11	FIRST YEAR SEMINAR:Haruki Murakami	123456	--T-R--	1200	1350	48	group	y	n	y	y	y	n	y	y	y	n	n	n	y	n	n	y
CORE101	14	FIRST YEAR SEMINAR:Japanese Arts and Ways	123456	--T-R--	1800	1950	42	individual	n	n	n	n	y	y	n	y	y	n	y	y	y	n	n	y
CORE101	21	FIRST YEAR SEMINAR:Music and Loss	123456	--T-R--	1200	1350	46	group	y	y	n	n	y	n	y	y	y	n	n	n	n	y	y	n
CORE101	33	FIRST YEAR SEMINAR:Perf. Empathy and the Art of	123456	--T-R--	1800	1950	42	group	n	n	y	y	y	y	y	n	y	y	y	y	n	y	y	y
CORE101	23	FIRST YEAR SEMINAR:Women/Gender/Religion . . .	123456	-M-W-F-	1200	1310	21	individual	y	n	n	n	y	n	n	n	y	n	y	n	y	n	n	n
CORE101	24	FIRST YEAR SEMINAR:Busnss.Ethics/Corp.Responsiblty	123456	--T-R--	1200	1350	21	group	y	n	n	y	y	y	y	y	y	n	n	n	y	n	n	n
CORE101	4	"FIRST YEAR SEMINAR:Genes, God, and Goodness"	123456	-M-W-F-	1200	1310	18	individual	y	n	n	y	y	y	n	y	n	n	n	n	y	y	y	y
CORE101	15	FIRST YEAR SEMINAR:The Quest for Humanity in Amer.	123456	--T-R--	1200	1350	28	group	y	n	y	y	y	n	y	y	y	y	n	n	n	y	n	y
CORE101	6	FIRST YEAR SEMINAR:Evolution of Altruism	123456	-M-W-F-	1200	1310	21	individual	n	y	y	n	n	y	y	n	n	n	n	y	y	n	n	y
CORE101	30	FIRST YEAR SEMINAR:Galileo and  Modern Science	123456	-M-W-F-	1200	1310	22	group	y	y	y	n	n	n	n	y	n	y	n	y	n	y	y	n
CORE101	20	FIRST YEAR SEMINAR:Mind-bending Math	123456	-M-W-F-	1200	1310	11	individual	y	n	n	y	y	n	n	n	y	y	n	n	n	n	y	y
CORE101	27	FIRST YEAR SEMINAR:Critical Thinking: A User's Guid	123456	-M-W-F-	1200	1310	17	group	y	y	y	n	n	n	y	n	y	n	y	n	y	n	n	n
CORE101	12	FIRST YEAR SEMINAR:True Grit: The Art of Resilience	123456	--T-R--	1200	1350	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
CORE101	28	"FIRST YEAR SEMINAR:Mind, Brain, Music"	123456	-M-W-F-	1200	1310	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
CORE101	8	FIRST YEAR SEMINAR:American Football	123456	-M-W-F-	1200	1310	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CORE101	13	FIRST YEAR SEMINAR:The Beatles	123456	--T-R--	1200	1350	27	group	n	n	n	y	y	n	y	n	n	n	y	y	n	y	y	y
CORE101	16	FIRST YEAR SEMINAR:Winston Churchill	123456	--T-R--	1200	1350	41	group	y	n	n	y	y	y	n	n	n	y	n	y	y	n	n	y
CORE101	17	FIRST YEAR SEMINAR:The Many Lives of Lincoln	123456	-M-W-F-	1200	1310	41	group	y	n	n	y	y	y	n	n	n	y	n	y	y	n	n	y
CORE101	25	FIRST YEAR SEMINAR:Politics of the City: Baltimore	123456	--T-R--	1800	1950	9	individual	n	y	n	y	n	n	n	y	y	n	n	y	y	y	y	n
CORE101	26	FIRST YEAR SEMINAR:Road to the White House	123456	-M-W-F-	1200	1310	9	individual	n	y	n	y	n	n	n	y	y	n	n	y	y	y	y	n
CORE101	18	FIRST YEAR SEMINAR:Creativity as a Force	123456	-M-W-F-	1200	1310	35	individual	y	n	y	n	y	n	n	y	y	y	n	y	n	y	n	y
CORE101	19	FIRST YEAR SEMINAR:Concepts of Family and Identity	123456	--T-R--	1200	1350	31	group	y	n	y	y	n	y	n	y	y	n	n	n	y	y	y	n
CORE101	35	FIRST YEAR SEMINAR:Concepts of Family and Identity	123456	--T-R--	1200	1350	31	group	y	n	y	y	n	y	n	y	y	n	n	n	y	y	y	n
CORE101	32	FIRST YEAR SEMINAR:Masks and Disguise Across Hist.	123456	--T-R--	1200	1350	28	group	y	y	y	n	n	n	y	y	n	n	y	n	y	n	y	n
CORE101	2	FIRST YEAR SEMINAR:The Art of Political Protest	123456	--T-R--	1200	1350	36	individual	y	y	y	n	n	y	n	y	y	n	y	y	y	n	y	n
CORE101	1	FIRST YEAR SEMINAR:Global Scholars	123456	-M-W-F-	1200	1310	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
CORE101	9	"FIRST YEAR SEMINAR:Privilege, Power and Difference"	123456	--T-R--	1200	1350	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
CORE101	22	FIRST YEAR SEMINAR:Race and Racism in the U.S.	123456	-M-W-F-	1200	1310	46	group	n	n	n	n	y	y	y	y	n	y	n	y	n	n	n	y
CORE301	3	INQUIRY IN THE LIBERAL ARTS:The Future of Nature	123456	--T-R--	1200	1350	30	group	y	n	y	y	y	n	n	n	y	y	n	y	y	n	y	n
CORE301	1	INQUIRY IN THE LIBERAL ARTS:Campus Ecology	123456	--T-R--	1200	1350	22	group	y	y	y	n	n	n	n	y	n	y	n	y	n	y	y	n
CORE301	4	"INQUIRY IN THE LIBERAL ARTS:Genius, Creativity, and Madness"	123456	--T-R--	1200	1350	17	group	y	y	y	n	n	n	y	n	y	n	y	n	y	n	n	n
CORE301	2	INQUIRY IN THE LIBERAL ARTS:Is it just progress?	123456	--T-R--	1200	1350	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
CORE301	5	INQUIRY IN THE LIBERAL ARTS:Capitalism's Crises	123456	--T-R--	1800	1950	36	group	n	n	y	y	n	y	y	n	y	n	y	n	y	n	n	n
CORE301	6	INQUIRY IN THE LIBERAL ARTS:Whistleblowers & Organizations	123456	-M-W-F-	1200	1310	25	group	n	y	y	y	n	y	n	n	y	y	n	y	n	n	y	y
COSC120	1	COMPUTER SCIENCE I	123456	-M-W-F-	920	1030	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
COSC120	2	COMPUTER SCIENCE I	123456	--T-R--	1200	1350	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
COSC120	3	COMPUTER SCIENCE I	123456	-M-W---	1440	1630	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
COSC130	1	INTRO TO COMPUTER SCIENCE II	123456	-M-W-F-	1040	1150	50	group	n	y	n	y	n	y	n	y	y	n	y	y	n	n	y	y
COSC181	1	EMERGING SCHOLARS	123456	-M-W---	1800	1950	50	group	n	y	n	y	n	y	n	y	y	n	y	y	n	n	y	y
COSC201	2	ALGORITHMS/DATA STRUCTURES	123456	-M-W---	1440	1630	50	group	n	y	n	y	n	y	n	y	y	n	y	y	n	n	y	y
COSC201	1	ALGORITHMS/DATA STRUCTURES	123456	--T-R--	1400	1550	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
COSC230	1	COMPUTER ARCHITECTURE	123456	-M-W-F-	1200	1310	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
COSC301	1	SOFTWARE ENGINEERING I	123456	--T-R--	1800	1950	31	group	y	n	y	n	n	n	y	n	y	y	y	n	y	y	n	y
