Course #,Section #,Course Name,bldg,bldg_txt,room,beg_date,end_date,beg_tm,end_tm,days
ART208,1,INTRO TO SCULPTURE,MH,Montgomery Hall,135,8/29/16,12/15/16,1130,1400,-M-W---
ART212,1,INTRO PHOTOGRAPHY,MH,Montgomery Hall,49,8/29/16,12/16/16,920,1150,--T-R--
ART212,2,INTRO PHOTOGRAPHY,MH,Montgomery Hall,49,8/29/16,12/16/16,1320,1550,--T-R--
ART214,1,INTRO TO DIGITAL MEDIA ART,MH,Montgomery Hall,49,8/29/16,12/16/16,920,1150,-M-W---
ART214,2,INTRO TO DIGITAL MEDIA ART,MH,Montgomery Hall,49,8/29/16,12/16/16,1800,2030,-M-W---
ART233,1,TOPICS IN STUDIO ART:Photography,MH,Montgomery Hall,105,8/29/16,12/16/16,1800,2030,-M-W---
ART233,2,TOPICS IN STUDIO ART:Digital Media,MH,Montgomery Hall,49,8/29/16,12/16/16,1800,2030,-M-W---
ART304,1,ADVANCED DRAWING,MH,Montgomery Hall,129,8/29/16,12/16/16,1800,2030,--T-R--
ART314,1,ADVANCED DIGITAL ART,MH,Montgomery Hall,49,8/29/16,12/15/16,1320,1550,-M-W---
ART338,1,ADV TOP: FIGURE SCULPTURE,MH,Montgomery Hall,135,8/29/16,12/15/16,830,1100,-M-W---
ART347,1,ADV TOP: BOOK ARTS,MH,Montgomery Hall,132,8/29/16,12/15/16,920,1150,--T-R--
ART369,1,ART FOR EDUCATORS,LI,Library,321,8/29/16,12/15/16,920,1150,--T-R--
ART493,1,ST MARYS PROJ STU ART I,MT,Physical Plant,100,8/29/16,12/16/16,1320,1550,--T-R--
ARTH100,1,INTRO TO ART HISTORY,MH,Montgomery Hall,151,8/29/16,12/16/16,1400,1550,--T-R--
ARTH224,1,ANCIENT AMER ART/ARCHITECTURE,MH,Montgomery Hall,151,8/29/16,12/16/16,1000,1150,--T-R--
ARTH255,1,TOPICS IN GLOBAL ART HISTORY:Art in the Age of Discovery,MH,Montgomery Hall,151,8/29/16,12/15/16,800,950,--T-R--
ARTH316,1,MOD ART: 1850-1945,MH,Montgomery Hall,151,8/29/16,12/15/16,1440,1630,-M-W---
ARTH321,1,ART/ARCHITECTURE ANCIENT MAYA,MH,Montgomery Hall,151,8/29/16,12/15/16,1200,1350,--T-R--
ARTH450,1,ADVANCED SEMINAR IN ART HISTORY:Studio of One's Own-Women/Art,AAH,Anne Arundel Hall,N001,8/29/16,12/15/16,1000,1150,--T-R--
ARTH470,1,CRIT APPROACHES ANALYSIS OF ART,MH,Montgomery Hall,151,8/29/16,12/16/16,1800,2140,---W---
ASIA200,1,INTRO TO ASIAN STUDIES,AAH,Anne Arundel Hall,N001,8/29/16,12/16/16,1440,1630,-M-W---
ASIA305,1,CHINESE CINEMA,KH,Kent Hall,312,8/29/16,12/15/16,1440,1630,-M-W---
ASTR155,1,STELLAR ASTRONOMY AND COSMOLOGY,SB,Schaefer Hall,106,8/29/16,12/15/16,1400,1550,--T-R--
ASTR155L,1,ASTRONOMY LAB,SB,Schaefer Hall,151,8/29/16,12/15/16,920,1150,-----F-
ASTR155L,2,ASTRONOMY LAB,SB,Schaefer Hall,151,8/29/16,12/15/16,1320,1550,-----F-
BIOL101,1,CONTEMPORARY BIOSCIENCE W/LAB,SB,Schaefer Hall,109,8/29/16,12/15/16,1000,1150,--T-R--
BIOL101,1,CONTEMPORARY BIOSCIENCE W/LAB,SB,Schaefer Hall,217,8/29/16,12/15/16,1300,1550,--T----
BIOL101,2,CONTEMPORARY BIOSCIENCE W/LAB,SB,Schaefer Hall,217,8/29/16,12/15/16,1320,1610,---W---
BIOL101,2,CONTEMPORARY BIOSCIENCE W/LAB,SB,Schaefer Hall,134,8/29/16,12/15/16,1400,1550,--T-R--
BIOL101,3,CONTEMPORARY BIOSCIENCE W/LAB,SB,Schaefer Hall,134,8/29/16,12/15/16,1440,1630,-M-W---
BIOL101,3,CONTEMPORARY BIOSCIENCE W/LAB,SB,Schaefer Hall,108,8/29/16,12/15/16,1300,1550,----R--
BIOL105,1,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,800,910,-M-W---
BIOL105,1,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,800,910,-----F-
BIOL105,2,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,108,8/29/16,12/15/16,800,910,-----F-
BIOL105,2,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,800,910,-M-W---
BIOL105,3,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,920,1030,-----F-
BIOL105,3,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,920,1030,-M-W---
BIOL105,4,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,108,8/29/16,12/15/16,920,1030,-----F-
BIOL105,4,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,920,1030,-M-W---
BIOL105,5,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,1040,1150,-M-W---
BIOL105,5,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,1040,1150,-----F-
BIOL105,6,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,106,8/29/16,12/15/16,1040,1150,-M-W---
BIOL105,6,PRINCIPLES OF BIOLOGY I,SB,Schaefer Hall,108,8/29/16,12/15/16,1040,1150,-----F-
BIOL105L,1,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,1320,1610,-M-----
BIOL105L,2,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,830,1120,--T----
BIOL105L,3,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,1300,1550,--T----
BIOL105L,4,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,1320,1610,---W---
BIOL105L,5,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,1800,2050,---W---
BIOL105L,6,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,830,1120,----R--
BIOL105L,7,PRIN OF BIOL I LAB,SB,Schaefer Hall,221,8/29/16,12/15/16,1300,1550,----R--
BIOL109,1,EMERGING SCHOLARS PROGRAM,GH,Goodpaster Hall,184,8/29/16,12/16/16,1800,2050,-M-----
BIOL270,1,GENETICS,SB,Schaefer Hall,109,8/29/16,12/15/16,920,1030,-M-W-F-
BIOL270,2,GENETICS,SB,Schaefer Hall,109,8/29/16,12/15/16,1040,1150,-M-W-F-
BIOL270L,1,GENETICS LAB,SB,Schaefer Hall,246,8/29/16,12/15/16,1320,1610,-M-----
BIOL270L,2,GENETICS LAB,SB,Schaefer Hall,246,8/29/16,12/15/16,1300,1550,--T----
BIOL270L,3,GENETICS LAB,SB,Schaefer Hall,246,8/29/16,12/15/16,1320,1610,---W---
BIOL270L,4,GENETICS LAB,SB,Schaefer Hall,246,8/29/16,12/15/16,1300,1550,----R--
BIOL303,1,INVERTEBRATE ZOOLOGY,SB,Schaefer Hall,132,8/29/16,12/15/16,1040,1150,-M-W-F-
BIOL303,1,INVERTEBRATE ZOOLOGY,SB,Schaefer Hall,224,8/29/16,12/15/16,1320,1610,-M-----
BIOL305,1,ANIMAL BEHAVIOR,SB,Schaefer Hall,112,8/29/16,12/15/16,1320,1610,---W---
BIOL305,1,ANIMAL BEHAVIOR,SB,Schaefer Hall,132,8/29/16,12/15/16,800,910,-M-W-F-
BIOL311,1,BIOSTATISTICS,SB,Schaefer Hall,209,8/29/16,12/15/16,1300,1550,--T----
BIOL311,1,BIOSTATISTICS,SB,Schaefer Hall,106,8/29/16,12/15/16,1000,1150,--T-R--
BIOL330,1,HUMAN ANATOMY & PHYSIOLOGY,SB,Schaefer Hall,106,8/29/16,12/15/16,800,950,--T-R--
BIOL330L,1,HUMAN ANATOMY/PHYSIOLOGY LAB,SB,Schaefer Hall,224,8/29/16,12/15/16,1320,1610,---W---
BIOL330L,2,HUMAN ANATOMY/PHYSIOLOGY LAB,SB,Schaefer Hall,224,8/29/16,12/15/16,1300,1550,----R--
BIOL436,1,COMPARATIVE ANIMAL PHYSIOLOGY,SB,Schaefer Hall,217,8/29/16,12/15/16,1320,1610,-M-----
BIOL436,1,COMPARATIVE ANIMAL PHYSIOLOGY,SB,Schaefer Hall,132,8/29/16,12/15/16,920,1030,-M-W-F-
BIOL463,1,ECOLOGY OF COASTAL SYSTEMS,SB,Schaefer Hall,134,8/29/16,12/15/16,800,950,--T-R--
BIOL463,1,ECOLOGY OF COASTAL SYSTEMS,SB,Schaefer Hall,112,8/29/16,12/15/16,1300,1550,--T----
BIOL493,1,ST. MARY'S PROJECT,SB,Schaefer Hall,106,8/29/16,12/16/16,1320,1430,-----F-
BIOL494,1,ST. MARY'S PROJECT,SB,Schaefer Hall,106,8/29/16,12/16/16,1320,1430,-----F-
CHEM101,1,CONTEMPORARY CHEMISTRY W/ LAB,GH,Goodpaster Hall,184,8/29/16,12/16/16,1000,1150,--T-R--
CHEM101,1,CONTEMPORARY CHEMISTRY W/ LAB,GH,Goodpaster Hall,200,8/29/16,12/16/16,1240,1550,--T----
CHEM103,1,GENERAL CHEMISTRY I,GH,Goodpaster Hall,117,8/29/16,12/16/16,1800,2200,--T----
CHEM103,1,GENERAL CHEMISTRY I,GH,Goodpaster Hall,185,8/29/16,12/16/16,1800,2200,--T----
CHEM103,1,GENERAL CHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,920,1030,-M-W-F-
CHEM103,1,GENERAL CHEMISTRY I,GH,Goodpaster Hall,184,8/29/16,12/16/16,1800,2200,--T----
CHEM103,2,GENERAL CHEMISTRY I,GH,Goodpaster Hall,195,8/29/16,12/16/16,1800,2200,--T----
CHEM103,2,GENERAL CHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,1040,1150,-M-W-F-
CHEM103,2,GENERAL CHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,1800,2200,--T----
CHEM103,3,GENERAL CHEMISTRY I,GH,Goodpaster Hall,197,8/29/16,12/16/16,1800,2200,--T----
CHEM103,3,GENERAL CHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,800,910,-M-W-F-
CHEM103,3,GENERAL CHEMISTRY I,GH,Goodpaster Hall,198,8/29/16,12/16/16,1800,2200,--T----
CHEM106,1,GENERAL CHEMISTRY II,GH,Goodpaster Hall,198,8/29/16,12/16/16,1040,1150,-M-W-F-
CHEM106L,1,GEN CHEM II LAB,GH,Goodpaster Hall,200,8/29/16,12/16/16,1320,1630,-M-----
CHEM109,1,EMERGING SCHOLARS PROGRAM,GH,Goodpaster Hall,185,8/29/16,12/16/16,1800,2000,-M-----
CHEM306,1,INSTR ANALYSIS,GH,Goodpaster Hall,185,8/29/16,12/16/16,920,1030,-M-W-F-
CHEM306,1,INSTR ANALYSIS,GH,Goodpaster Hall,216,8/29/16,12/16/16,1320,1630,---W---
CHEM311,1,ORGANIC CHEMISTRY I,GH,Goodpaster Hall,195,8/29/16,12/16/16,1040,1150,-M-W-F-
CHEM311,1,ORGANIC CHEMISTRY I,GH,Goodpaster Hall,117,8/29/16,12/16/16,1800,2200,----R--
CHEM311,2,ORGANIC CHEMISTRY I,GH,Goodpaster Hall,195,8/29/16,12/16/16,920,1030,-M-W-F-
CHEM311,2,ORGANIC CHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,1800,2200,----R--
CHEM311,3,ORGANIC CHEMISTRY I,GH,Goodpaster Hall,195,8/29/16,12/16/16,800,910,-M-W-F-
CHEM311,3,ORGANIC CHEMISTRY I,GH,Goodpaster Hall,195,8/29/16,12/16/16,1800,2200,----R--
CHEM311L,1,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,1320,1630,-M-----
CHEM311L,2,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,1800,2110,-M-----
CHEM311L,3,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,1240,1550,--T----
CHEM311L,4,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,1320,1630,---W---
CHEM311L,5,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,1800,2110,---W---
CHEM311L,6,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,1240,1550,----R--
CHEM311L,7,ORGANIC CHEM I LAB,GH,Goodpaster Hall,207,8/29/16,12/16/16,840,1150,----R--
CHEM325,1,INTRO TO CHEMICAL LIT,GH,Goodpaster Hall,81,8/29/16,12/16/16,1320,1430,-----F-
CHEM405,1,INORGANIC CHEMISTRY,GH,Goodpaster Hall,185,8/29/16,12/16/16,800,910,-M-W-F-
CHEM405,1,INORGANIC CHEMISTRY,GH,Goodpaster Hall,216,8/29/16,12/16/16,1240,1550,----R--
CHEM420,1,BIOCHEMISTRY I,GH,Goodpaster Hall,117,8/29/16,12/16/16,920,1030,-M-W-F-
CHEM420,1,BIOCHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,1800,2200,-M-----
CHEM420,2,BIOCHEMISTRY I,GH,Goodpaster Hall,117,8/29/16,12/16/16,1200,1310,-M-W-F-
CHEM420,2,BIOCHEMISTRY I,GH,Goodpaster Hall,186,8/29/16,12/16/16,1800,2200,-M-----
CHEM420L,1,BIOCHEMISTRY I LAB,GH,Goodpaster Hall,200,8/29/16,12/16/16,1320,1630,---W---
CHEM420L,2,BIOCHEMISTRY I LAB,GH,Goodpaster Hall,200,8/29/16,12/16/16,1800,2110,---W---
CHEM420L,3,BIOCHEMISTRY I LAB,GH,Goodpaster Hall,200,8/29/16,12/16/16,1240,1550,----R--
CHEM451,1,PHYSICAL CHEMISTRY I,GH,Goodpaster Hall,198,8/29/16,12/16/16,1000,1150,--T-R--
CHEM451,1,PHYSICAL CHEMISTRY I,GH,Goodpaster Hall,198,8/29/16,12/16/16,1800,2200,----R--
CHEM451L,1,PHYSICAL CHEM I LAB,GH,Goodpaster Hall,216,8/29/16,12/16/16,1320,1630,-M-----
CHEM451L,2,PHYSICAL CHEM I LAB,GH,Goodpaster Hall,216,8/29/16,12/16/16,1240,1550,--T----
CORE101,1,FIRST YEAR SEMINAR:Global Scholars,AAH,Anne Arundel Hall,W115,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,2,FIRST YEAR SEMINAR:The Art of Political Protest,AAH,Anne Arundel Hall,N204,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,4,"FIRST YEAR SEMINAR:Genes, God, and Goodness",SB,Schaefer Hall,111,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,6,FIRST YEAR SEMINAR:Evolution of Altruism,SB,Schaefer Hall,132,8/29/16,12/15/16,1200,1310,-M-W-F-
CORE101,8,FIRST YEAR SEMINAR:American Football,GH,Goodpaster Hall,186,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,9,"FIRST YEAR SEMINAR:Privilege, Power and Difference",AAH,Anne Arundel Hall,W115,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,11,FIRST YEAR SEMINAR:Haruki Murakami,MH,Montgomery Hall,101,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,12,FIRST YEAR SEMINAR:True Grit: The Art of Resilience,GH,Goodpaster Hall,185,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,13,FIRST YEAR SEMINAR:The Beatles,GH,Goodpaster Hall,197,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,14,FIRST YEAR SEMINAR:Japanese Arts and Ways,MH,Montgomery Hall,103,8/29/16,12/16/16,1800,1950,--T-R--
CORE101,15,FIRST YEAR SEMINAR:The Quest for Humanity in Amer.,MH,Montgomery Hall,120,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,16,FIRST YEAR SEMINAR:Winston Churchill,KH,Kent Hall,312,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,17,FIRST YEAR SEMINAR:The Many Lives of Lincoln,KH,Kent Hall,312,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,18,FIRST YEAR SEMINAR:Creativity as a Force,AAH,Anne Arundel Hall,N001,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,19,FIRST YEAR SEMINAR:Concepts of Family and Identity,AAH,Anne Arundel Hall,N109,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,20,FIRST YEAR SEMINAR:Mind-bending Math,SB,Schaefer Hall,161,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,21,FIRST YEAR SEMINAR:Music and Loss,MH,Montgomery Hall,104,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,22,FIRST YEAR SEMINAR:Race and Racism in the U.S.,AAH,Anne Arundel Hall,W209,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,23,FIRST YEAR SEMINAR:Women/Gender/Religion . . .,MB,Margaret Brent Hall,109,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,24,FIRST YEAR SEMINAR:Busnss.Ethics/Corp.Responsiblty,MB,Margaret Brent Hall,110,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,25,FIRST YEAR SEMINAR:Politics of the City: Baltimore,KH,Kent Hall,316,8/29/16,12/16/16,1800,1950,--T-R--
CORE101,26,FIRST YEAR SEMINAR:Road to the White House,KH,Kent Hall,316,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,27,FIRST YEAR SEMINAR:Critical Thinking: A User's Guid,GH,Goodpaster Hall,184,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,28,"FIRST YEAR SEMINAR:Mind, Brain, Music",GH,Goodpaster Hall,185,8/29/16,12/16/16,1200,1310,-M-W-F-
CORE101,30,FIRST YEAR SEMINAR:Galileo and  Modern Science,SB,Schaefer Hall,134,8/29/16,12/15/16,1200,1310,-M-W-F-
CORE101,32,FIRST YEAR SEMINAR:Masks and Disguise Across Hist.,AAH,Anne Arundel Hall,N111,8/29/16,12/16/16,1200,1350,--T-R--
CORE101,33,FIRST YEAR SEMINAR:Perf. Empathy and the Art of,MH,Montgomery Hall,107,8/29/16,12/16/16,1800,1950,--T-R--
CORE101,35,FIRST YEAR SEMINAR:Concepts of Family and Identity,AAH,Anne Arundel Hall,N109,8/29/16,12/16/16,1200,1350,--T-R--
CORE301,1,INQUIRY IN THE LIBERAL ARTS:Campus Ecology,SB,Schaefer Hall,134,8/29/16,12/16/16,1200,1350,--T-R--
CORE301,2,INQUIRY IN THE LIBERAL ARTS:Is it just progress?,GH,Goodpaster Hall,186,8/29/16,12/16/16,1200,1350,--T-R--
CORE301,3,INQUIRY IN THE LIBERAL ARTS:The Future of Nature,LI,Library,115,8/29/16,12/16/16,1200,1350,--T-R--
CORE301,4,"INQUIRY IN THE LIBERAL ARTS:Genius, Creativity, and Madness",GH,Goodpaster Hall,184,8/29/16,12/16/16,1200,1350,--T-R--
CORE301,5,INQUIRY IN THE LIBERAL ARTS:Capitalism's Crises,KH,Kent Hall,222,8/29/16,12/15/16,1800,1950,--T-R--
CORE301,6,INQUIRY IN THE LIBERAL ARTS:Whistleblowers & Organizations,KH,Kent Hall,317,8/29/16,12/15/16,1200,1310,-M-W-F-
COSC120,1,COMPUTER SCIENCE I,SB,Schaefer Hall,165,8/29/16,12/15/16,920,1030,-M-W-F-
COSC120,2,COMPUTER SCIENCE I,SB,Schaefer Hall,165,8/29/16,12/15/16,1200,1350,--T-R--
COSC120,3,COMPUTER SCIENCE I,SB,Schaefer Hall,165,8/29/16,12/15/16,1440,1630,-M-W---
COSC130,1,INTRO TO COMPUTER SCIENCE II,SB,Schaefer Hall,160,8/29/16,12/15/16,1040,1150,-M-W-F-
COSC181,1,EMERGING SCHOLARS,SB,Schaefer Hall,160,8/29/16,12/15/16,1800,1950,-M-W---
COSC201,1,ALGORITHMS/DATA STRUCTURES,SB,Schaefer Hall,165,8/29/16,12/16/16,1400,1550,--T-R--
COSC201,2,ALGORITHMS/DATA STRUCTURES,SB,Schaefer Hall,160,8/29/16,12/15/16,1440,1630,-M-W---
COSC230,1,COMPUTER ARCHITECTURE,SB,Schaefer Hall,165,8/29/16,12/15/16,1200,1310,-M-W-F-
COSC301,1,SOFTWARE ENGINEERING I,SB,Schaefer Hall,165,8/29/16,12/15/16,1800,1950,--T-R--
COSC391,1,PROGRAMMING TEAM SEMINAR,SB,Schaefer Hall,160,8/29/16,12/16/16,1640,1750,---W---
COSC420,1,DISTRIBUTED/PARALLEL COMPUTING,SB,Schaefer Hall,160,8/29/16,12/15/16,920,1030,-M-W-F-
COSC440,1,THEORY OF COMPUTATION,SB,Schaefer Hall,161,8/29/16,12/15/16,1320,1430,-M-W-F-
COSC480,1,TOPICS IN COMPUTER SCIENCE,SB,Schaefer Hall,160,8/29/16,12/15/16,1400,1550,--T-R--
COSC480,2,TOPICS IN COMPUTER SCIENCE,SB,Schaefer Hall,160,8/29/16,12/15/16,1200,1310,-M-W-F-
ECON102,1,PRINCIPLES OF MICROECONOMICS,CH,Calvert Hall,4,8/29/16,12/16/16,920,1030,-M-W-F-
ECON102,2,PRINCIPLES OF MICROECONOMICS,KH,Kent Hall,213,8/29/16,12/16/16,1440,1630,-M-W---
ECON103,1,PRINCIPLES OF MACROECONOMICS,KH,Kent Hall,120,8/29/16,12/16/16,1200,1350,--T-R--
ECON103,2,PRINCIPLES OF MACROECONOMICS,CH,Calvert Hall,4,8/29/16,12/16/16,1400,1550,--T-R--
ECON250,1,PRINCIPLES OF ACCOUNTING,KH,Kent Hall,212,8/29/16,12/16/16,800,950,--T-R--
ECON251,1,INTERMEDIATE MACROECONOMICS,KH,Kent Hall,213,8/29/16,12/16/16,920,1030,-M-W-F-
ECON251,2,INTERMEDIATE MACROECONOMICS,KH,Kent Hall,222,8/29/16,12/16/16,1000,1150,--T-R--
ECON252,1,INTERMEDIATE MICROECONOMICS,KH,Kent Hall,222,8/29/16,12/16/16,1040,1150,-M-W-F-
ECON252,2,INTERMEDIATE MICROECONOMICS,KH,Kent Hall,222,8/29/16,12/16/16,1200,1310,-M-W-F-
ECON252,3,INTERMEDIATE MICROECONOMICS,KH,Kent Hall,120,8/29/16,12/16/16,1000,1150,--T-R--
ECON253,1,ECONOMIC STATISTICS,KH,Kent Hall,222,8/29/16,12/15/16,800,950,--T-R--
ECON253,2,ECONOMIC STATISTICS,CH,Calvert Hall,4,8/29/16,12/15/16,1000,1150,--T-R--
ECON310,1,TOPICS IN ECONOMICS:Real Estate Finance,KH,Kent Hall,222,8/29/16,12/15/16,1700,2040,-M-----
ECON350,1,ENVIRONMENTAL ECONOMICS,KH,Kent Hall,222,8/29/16,12/16/16,800,910,-M-W-F-
ECON353,1,CORPORATE FINANCE,AAH,Anne Arundel Hall,N110,8/29/16,12/16/16,1200,1350,--T-R--
ECON355,1,LABOR ECONOMICS,KH,Kent Hall,222,8/29/16,12/15/16,1440,1630,-M-W---
ECON356,1,INTERNATIONAL ECONOMICS,KH,Kent Hall,120,8/29/16,12/15/16,1000,1150,--T-R--
ECON357,1,MONEY & BANKING,KH,Kent Hall,213,8/29/16,12/16/16,1200,1310,-M-W-F-
ECON357,2,MONEY & BANKING,KH,Kent Hall,311,8/29/16,12/16/16,1320,1430,-M-W-F-
ECON359,1,PUBLIC SECTOR ECONOMICS,CH,Calvert Hall,4,8/29/16,12/16/16,1200,1310,-M-W-F-
ECON360,1,COMPARATIVE ECON SYSTEMS,KH,Kent Hall,311,8/29/16,12/15/16,920,1030,-M-W-F-
ECON372,1,ECON OF DEVELOPING COUNTRIES,KH,Kent Hall,120,8/29/16,12/16/16,1400,1550,--T-R--
ECON425,1,ECONOMETRICS,KH,Kent Hall,115,8/29/16,12/15/16,1200,1350,--T-R--
EDUC180,1,INTRO TO SIGN LANGUAGE,SS,Somerset Hall,123,8/29/16,12/16/16,900,950,--T-R--
EDUC206,1,EDUCATION IN AMERICA,GH,Goodpaster Hall,230,8/29/16,12/16/16,920,1030,-M-W-F-
EDUC206,2,EDUCATION IN AMERICA,GH,Goodpaster Hall,230,8/29/16,12/16/16,1440,1630,-M-W---
EDUC286,1,LANGUAGE ACQUISITION & READING,GH,Goodpaster Hall,237,8/29/16,12/16/16,1200,1350,--T-R--
EDUC296,1,LANG ACQUIS/PHONEMIC AWARENESS,GH,Goodpaster Hall,237,8/29/16,12/16/16,1800,1950,--T----
EDUC336,1,EXCEPTIONALITY,GH,Goodpaster Hall,230,8/29/16,12/16/16,1040,1150,-M-W-F-
EDUC336,2,EXCEPTIONALITY,GH,Goodpaster Hall,230,8/29/16,12/16/16,1200,1310,-M-W-F-
EDUC368,1,EDUCATIONAL PSYCHOLOGY,GH,Goodpaster Hall,230,8/29/16,12/16/16,1000,1150,--T-R--
EDUC368,2,EDUCATIONAL PSYCHOLOGY,GH,Goodpaster Hall,230,8/29/16,12/16/16,1200,1350,--T-R--
EDUC491,1,ESL ACROSS THE CURRICULUM,GH,Goodpaster Hall,230,8/29/16,12/16/16,1800,1950,--T-R--
ENGL101,1,INTRO TO WRITING,LI,Library,115,8/29/16,12/16/16,1000,1150,--T-R--
ENGL101,2,INTRO TO WRITING,MH,Montgomery Hall,120,8/29/16,12/16/16,1400,1550,--T-R--
